Year,Months,Months,Cases,Deaths,T2M,T2M_MIN,T2M_MAX,RH2M,PRECTOTCORR,PS,WS50_MAX,Pd,GDP,GNI,PHR,ALR,UnE,EA,SSS,PG,FR,AGR,AL,Precipitation(mm),WC(tons),AP,CHE
2002,7,Jul,566,12,28.43,25.48,32.76,90.81,13.85,99.95,12.24,1018,54.72,440,46,49.6,3.9,37.9,20,1.8,14.7,71.85,63.4,2285.7,12151.04,1536102,2.26
2002,8,Aug,3281,28,27.63,24.75,32.76,90.81,8.24,100.13,10.73,1018,54.72,440,46,49.6,3.9,37.9,20,1.8,14.7,71.85,63.4,2285.7,12151.04,1536102,2.26
2002,9,Sep,1713,10,27.32,23.21,32.76,88.38,5.85,100.56,9.86,1018,54.72,440,46,49.6,3.9,37.9,20,1.8,14.7,71.85,63.4,2285.7,12151.04,1536102,2.26
2002,10,Oct,541,7,25.79,18.02,32.76,81.81,1.65,100.92,8.41,1018,54.72,440,46,49.6,3.9,37.9,20,1.8,14.7,71.85,63.4,2285.7,12151.04,1536102,2.26
2002,11,Nov,121,1,22.71,15.27,32.76,79.25,4.04,101.16,9.72,1018,54.72,440,46,49.6,3.9,37.9,20,1.8,14.7,71.85,63.4,2285.7,12151.04,1536102,2.26
2002,12,Dec,10,0,18.97,9.78,32.76,73.38,0.14,101.42,6.84,1018,54.72,440,46,49.6,3.9,37.9,20,1.8,14.7,71.85,63.4,2285.7,12151.04,1536102,2.26
2003,1,Jan,0,0,16.51,7.81,32.76,64.56,0.62,101.57,8.04,1036,60.16,460,44.5,50.4,4.3,40.7,21,1.7,14.68,71.66,63.21,2139.97,12683.81,1587606,2.31
2003,2,Feb,0,0,21.78,12.43,32.76,58.69,0.93,101.32,8.2,1036,60.16,460,44.5,50.4,4.3,40.7,21,1.7,14.68,71.66,63.21,2139.97,12683.81,1587606,2.31
2003,3,Mar,0,0,25.32,13.48,32.76,57.69,3.64,101.03,9.21,1036,60.16,460,44.5,50.4,4.3,40.7,21,1.7,14.68,71.66,63.21,2139.97,12683.81,1587606,2.31
2003,4,Apr,2,0,29.73,21.54,32.76,66.88,3.59,100.68,11.54,1036,60.16,460,44.5,50.4,4.3,40.7,21,1.7,14.68,71.66,63.21,2139.97,12683.81,1587606,2.31
2003,5,May,1,0,30.76,23.94,32.76,67.12,3.98,100.32,11.26,1036,60.16,460,44.5,50.4,4.3,40.7,21,1.7,14.68,71.66,63.21,2139.97,12683.81,1587606,2.31
2003,6,Jun,0,0,28.71,25.44,32.76,86.19,16.89,99.9,15.29,1036,60.16,460,44.5,50.4,4.3,40.7,21,1.7,14.68,71.66,63.21,2139.97,12683.81,1587606,2.31
2003,7,Jul,4,0,28.38,25.88,32.76,89.62,6.01,100.15,10.84,1036,60.16,460,44.5,50.4,4.3,40.7,21,1.7,14.68,71.66,63.21,2139.97,12683.81,1587606,2.31
2003,8,Aug,4,0,28.51,25.48,32.76,88.44,5.84,100.15,9.95,1036,60.16,460,44.5,50.4,4.3,40.7,21,1.7,14.68,71.66,63.21,2139.97,12683.81,1587606,2.31
